TIME,Amb_temp_set_epic_F,RH_set_epic_F,Hum_manual_override,TempF1,RH1,ABS_H1,DPF1,TempF2,RH2,ABS_H2,DPF2,TempF3,RH3,DPC3,DPF3,TempF4,RH4,ABS_H4,DPF4,FloorTC,K2_SUP1_In,K2_SLP1_In,K2_ET1_In,K2_SAT1_In,K2_RT1_In,K2_ValvePos1_In,K2_AUX1a_In,K2_RLY1,K2_Alarm1,K2_System1,K2_Firmware1,K2_AUX1b_In,K2_SLP2_In,K2_ET2_In,TempC1,TempF,RH1,ABS_H1,DPC1,DPF1,MR1
2025-10-20T15:25:19,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:20,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,9,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:21,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:22,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.836480536028548e+23,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:23,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:24,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:25,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:26,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:27,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:28,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:29,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:30,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:31,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:32,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:33,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,240,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:34,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:35,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:36,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:37,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7420332063711552e+23,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20T15:25:38,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,65504,65514,65476,241,65476,1,0,4,20529,65476,0,0,13107,0.0,0.0,0.0,0.0,0.0,0.0
